Wavelength,Intensity,Absorbance,Reflectance
1216.3542198666166,177320,0.5166262,0.30435038
1219.9124854307765,181817,0.5152232,0.30533513
1223.4665659685293,186105,0.51393336,0.30624336
1227.0164614798755,190760,0.5118427,0.3077211
1230.5621719648148,195427,0.5104987,0.30867487
1234.103697423347,200391,0.5086648,0.3099811
1237.6410378554724,205066,0.50770885,0.31066418
1241.1741932611912,210447,0.505249,0.31242874
1244.7031636405031,215592,0.5035921,0.31362304
1248.227948993408,220483,0.50287104,0.31414413
1251.7485493199065,225441,0.5019681,0.31479797
1256.4361730474934,232473,0.499731,0.31642368
1259.9470083123756,237513,0.49850616,0.31731737
1263.4536585508508,241964,0.49836093,0.3174235
1266.9561237629196,245479,0.498501,0.31732115
1270.4544039485813,249379,0.4978587,0.31779078
1273.9484991078361,253247,0.4983236,0.3174508
1277.4384092406842,256862,0.49995992,0.31625694
1280.9241343471253,260273,0.501943,0.31481615
1284.4056744271597,263240,0.50405097,0.31329182
1287.8830294807874,265892,0.5068497,0.31127933
1291.356199508008,267152,0.51132625,0.30808723
1295.9805828365584,268035,0.51737803,0.30382395
1299.443987802163,267082,0.52434057,0.29899192
1302.9032077413613,266600,0.53021413,0.29497546
1306.3582426541523,264232,0.5386466,0.2893033
1309.8090925405363,261143,0.5475816,0.2834121
1313.2557574005139,257022,0.55805993,0.276656
1316.6982372340844,252707,0.5687509,0.26992872
1320.1365320412483,248077,0.57964003,0.2632449
1323.5706418220052,241707,0.59302133,0.2552576
1327.0005665763551,235633,0.60587496,0.24781354
1330.4263063042984,230194,0.61748075,0.24127883
1333.8478610058346,223600,0.63104653,0.23385867
1338.4034239001394,215396,0.647741,0.22503962
1341.8152135400596,209728,0.6594869,0.21903479
1345.2228181535734,204650,0.6699864,0.2138029
1348.6262377406802,198705,0.68211097,0.20791653
1352.02547230138,193749,0.69162184,0.20341273
1355.420521835673,188637,0.7020478,0.19858763
1358.8113863435592,183398,0.71319056,0.19355723
1362.1980658250386,176827,0.72748095,0.18729194
1365.5805602801113,169768,0.7434914,0.18051304
1368.958869708777,161480,0.7634136,0.1724195
1372.332994111036,152247,0.78696364,0.16331887
1375.702933486888,141224,0.817595,0.15219662
1380.1896759469469,125678,0.865531,0.13629156
1383.5498502611829,112865,0.91065365,0.12284185
1386.9058395490122,101250,0.9564198,0.110555455
1390.2576438104345,89703,1.0072317,0.09834863
1393.60526304545,80433,1.0526277,0.08858748
1396.948697254059,72389,1.0964074,0.08009263
1400.2879464362609,65157,1.1401801,0.072413564
1403.6230105920558,59660,1.1762339,0.06664477
1406.9538897214443,55867,1.2027365,0.062699415
1410.2805838244255,52320,1.2294879,0.05895384
1413.6030929010003,50176,1.2458487,0.056774247
1418.0265949620223,47373,1.2689271,0.053836014
1421.3393389769808,46797,1.272938,0.053341098
1424.6478979655326,45076,1.2882329,0.051495243
1427.9522719276777,44203,1.2960383,0.050578002
1431.2524608634158,43629,1.301029,0.050000116
1434.5484647727471,43064,1.3057542,0.049459055
1437.8402836556716,42492,1.3113319,0.04882791
1441.127917512189,42563,1.310094,0.048967283
